Year,Publication,Model,Paper URL,AUC,Logloss,Running Steps,Contributor
2007,WWW'07,LR,https://dl.acm.org/citation.cfm?id=1242643,0.7775,0.3815,https://github.com/reczoo/BARS/tree/main/ranking/ctr/LR/LR_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2010,ICDM'10,FM,https://www.csie.ntu.edu.tw/~b97053/paper/Rendle2010FM.pdf,0.7887,0.3754,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FM/FM_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2015,CIKM'15,CCPM,http://www.escience.cn/system/download/73676,0.7892,0.3745,https://github.com/reczoo/BARS/tree/main/ranking/ctr/CCPM/CCPM_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,NIPS'16,HOFM,https://papers.nips.cc/paper/6144-higher-order-factorization-machines.pdf,0.7891,0.3754,https://github.com/reczoo/BARS/tree/main/ranking/ctr/HOFM/HOFM_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,RecSys'16,FFM,https://dl.acm.org/citation.cfm?id=2959134,0.7931,0.372,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FFM/FFM_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,RecSys'16,YoutubeDNN,https://research.google.com/pubs/archive/45530.pdf,0.7928,0.3722,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DNN/DNN_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,DLRS'16,Wide&Deep,https://arxiv.org/pdf/1606.07792.pdf,0.7929,0.372,https://github.com/reczoo/BARS/tree/main/ranking/ctr/WideDeep/WideDeep_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,ICDM'16,IPNN,https://arxiv.org/pdf/1611.00144.pdf,0.7944,0.3712,https://github.com/reczoo/BARS/tree/main/ranking/ctr/PNN/IPNN_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,KDD'16,DeepCrossing,https://www.kdd.org/kdd2016/papers/files/adf0975-shanA.pdf,0.793,0.3721,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DeepCrossing/DeepCross_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,SIGIR'17,NFM,https://dl.acm.org/citation.cfm?id=3080777,0.7894,0.3743,https://github.com/reczoo/BARS/tree/main/ranking/ctr/NFM/NFM_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,IJCAI'17,AFM,http://www.ijcai.org/proceedings/2017/0435.pdf,0.7823,0.3793,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AFM/AFM_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,IJCAI'17,DeepFM,https://arxiv.org/abs/1703.04247,0.793,0.3719,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DeepFM/DeepFM_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,ADKDD'17,CrossNet,https://arxiv.org/abs/1708.05123,0.784,0.3779,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/CrossNet_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,ADKDD'17,DCN,https://arxiv.org/abs/1708.05123,0.7931,0.3719,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/DCN_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2018,WWW'18,FwFM,https://arxiv.org/pdf/1806.03514.pdf,0.7907,0.3744,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FwFM/FwFM_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2018,KDD'18,CIN,https://arxiv.org/pdf/1803.05170.pdf,0.7894,0.3742,https://github.com/reczoo/BARS/tree/main/ranking/ctr/xDeepFM/CIN_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2018,KDD'18,xDeepFM,https://arxiv.org/pdf/1803.05170.pdf,0.7933,0.3718,https://github.com/reczoo/BARS/tree/main/ranking/ctr/xDeepFM/xDeepFM_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,AAAI'19,HFM,https://ojs.aaai.org//index.php/AAAI/article/view/4448,0.7879,0.3757,https://github.com/reczoo/BARS/tree/main/ranking/ctr/HFM/HFM_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,AAAI'19,HFM+,https://ojs.aaai.org//index.php/AAAI/article/view/4448,0.7944,0.3714,https://github.com/reczoo/BARS/tree/main/ranking/ctr/HFM/HFM+_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,WWW'19,FGCNN,https://arxiv.org/abs/1904.04447,0.7944,0.3711,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FGCNN/FGCNN_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,CIKM'19,AutoInt,https://arxiv.org/abs/1810.11921,0.7891,0.3745,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AutoInt/AutoInt_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,CIKM'19,AutoInt+,https://arxiv.org/abs/1810.11921,0.7902,0.3746,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AutoInt/AutoInt+_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,CIKM'19,FiGNN,https://arxiv.org/abs/1910.05552,0.7915,0.3736,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FiGNN/FiGNN_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2020,NeuralNets'20,ONN,https://arxiv.org/pdf/1904.12579,0.7992,0.3683,https://github.com/reczoo/BARS/tree/main/ranking/ctr/ONN/ONN_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,RecSys'19,FiBiNET,https://arxiv.org/abs/1905.09433,0.7953,0.3705,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FiBiNET/FiBiNET_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2020,AAAI'20,LorentzFM,https://arxiv.org/abs/1911.09821,0.7885,0.3756,https://github.com/reczoo/BARS/tree/main/ranking/ctr/LorentzFM/LorentzFM_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2020,AAAI'20,AFN,https://ojs.aaai.org/index.php/AAAI/article/view/5768,0.7907,0.374,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AFN/AFN_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2020,AAAI'20,AFN+,https://ojs.aaai.org/index.php/AAAI/article/view/5768,0.7929,0.3726,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AFN/AFN+_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2020,WSDM'20,InterHAt,https://dl.acm.org/doi/10.1145/3336191.3371785,0.7882,0.3749,https://github.com/reczoo/BARS/tree/main/ranking/ctr/InterHAt/InterHAt_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2020,DLP-KDD'20,FLEN,https://arxiv.org/abs/1911.04690,0.7929,0.372,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FLEN/FLEN_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2021,WWW'21,DCN-V2,https://arxiv.org/abs/2008.13535,0.793146,0.371865,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCNv2/DCNv2_avazu_x4_001,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
